incident_type,city,state,date_time,year,data type,subject_race,gender,subject_ethnicity,block_address,district,psa,age
Stop & Frisk,"Washington, D.C.",DC,1/12/10 20:19,2010,Person,Unknown,Male,Not Hispanic Or Latino,15TH / W ST NW,3D,305.0,41
Stop & Frisk,"Washington, D.C.",DC,1/12/10 20:44,2010,Person,Black,Male,Not Hispanic Or Latino,2300 B/O 15TH ST NW,3D,304.0,24
Stop & Frisk,"Washington, D.C.",DC,1/12/10 23:30,2010,Person,Black,Male,Not Hispanic Or Latino,1900 B/O 14TH ST NW,3D,301.0,23
Stop & Frisk,"Washington, D.C.",DC,1/13/10 2:19,2010,Person,Black,Male,Unknown,49TH / HAYES ST NE,6D,602.0,42
Stop & Frisk,"Washington, D.C.",DC,1/13/10 12:29,2010,Person,Black,Male,Not Hispanic Or Latino,4700 B/O ALABAMA AVE SE,6D,605.0,22
Stop & Frisk,"Washington, D.C.",DC,1/13/10 15:00,2010,Person,Black,Male,Not Hispanic Or Latino,1200 B/O 22ND ST NW,2D,207.0,45
Stop & Frisk,"Washington, D.C.",DC,1/13/10 15:04,2010,Person,Black,Male,Not Hispanic Or Latino,14TH ST NW / W ST NW,4D,404.0,34
Stop & Frisk,"Washington, D.C.",DC,1/13/10 16:45,2010,Person,Black,Male,Not Hispanic Or Latino,4600 B/O MEADE ST NE,6D,602.0,18
Stop & Frisk,"Washington, D.C.",DC,1/13/10 16:45,2010,Person,Black,Male,Not Hispanic Or Latino,4600 B/O MEADE ST NE,6D,602.0,18
Stop & Frisk,"Washington, D.C.",DC,1/13/10 16:45,2010,Person,Black,Male,Not Hispanic Or Latino,4600 B/O MEADE ST NE,6D,602.0,21
Stop & Frisk,"Washington, D.C.",DC,1/13/10 19:39,2010,,,,,3900 B/O BENNING RD NE,6D,602.0,
Stop & Frisk,"Washington, D.C.",DC,1/13/10 19:59,2010,Person,Black,Male,Not Hispanic Or Latino,2ND ST NW,1D,103.0,41
Stop & Frisk,"Washington, D.C.",DC,1/13/10 19:59,2010,Person,Unknown,Unknown,Unknown,2ND ST NW,1D,103.0,
Stop & Frisk,"Washington, D.C.",DC,1/14/10 0:06,2010,Person,Black,Male,Unknown,R ST SE,6D,607.0,45
Stop & Frisk,"Washington, D.C.",DC,1/14/10 3:09,2010,Person,Black,Male,Not Hispanic Or Latino,NAYLOR RD SE,6D,606.0,35
Stop & Frisk,"Washington, D.C.",DC,1/14/10 3:09,2010,Person,Black,Male,Not Hispanic Or Latino,NAYLOR RD SE,6D,606.0,18
Stop & Frisk,"Washington, D.C.",DC,1/14/10 3:09,2010,Person,Black,Unknown,Not Hispanic Or Latino,NAYLOR RD SE,6D,606.0,21
Stop & Frisk,"Washington, D.C.",DC,1/14/10 13:00,2010,Person,Black,Male,Not Hispanic Or Latino,3300 B/O PROSPECT ST NW,2D,206.0,27
Stop & Frisk,"Washington, D.C.",DC,1/14/10 13:59,2010,Person,Black,Male,Unknown,1200 B/O FRANKLIN ST NE,5D,504.0,18
Stop & Frisk,"Washington, D.C.",DC,1/14/10 16:00,2010,Person,White,Female,Not Hispanic Or Latino,5000 B/O NEW HAMPSHIRE AVE NW,4D,407.0,49
Stop & Frisk,"Washington, D.C.",DC,1/14/10 16:25,2010,Person,Black,Male,Not Hispanic Or Latino,300 B/O 51ST ST NE,6D,602.0,Juvenile
Stop & Frisk,"Washington, D.C.",DC,1/14/10 16:54,2010,Person,Black,Male,Not Hispanic Or Latino,4900 B/O BROOKS PL NE,6D,602.0,Juvenile
Stop & Frisk,"Washington, D.C.",DC,1/14/10 16:54,2010,Person,Black,Male,Not Hispanic Or Latino,4900 B/O BROOKS PL NE,6D,602.0,20
Stop & Frisk,"Washington, D.C.",DC,1/14/10 22:16,2010,Person,Black,Male,Not Hispanic Or Latino,4300 B/O 6TH ST SE,1D,706.0,18
Stop & Frisk,"Washington, D.C.",DC,1/15/10 2:24,2010,Person,White,Male,Not Hispanic Or Latino,1200 B/O CONNECTICUT AVE NW,,,31
Stop & Frisk,"Washington, D.C.",DC,1/15/10 3:09,2010,Person,Unknown,Male,Not Hispanic Or Latino,1800 B/O LAMONT ST NW,4D,408.0,26
Stop & Frisk,"Washington, D.C.",DC,1/15/10 11:35,2010,Person,Black,Male,Not Hispanic Or Latino,1900 B/O 18TH ST SE,7D,701.0,22
Stop & Frisk,"Washington, D.C.",DC,1/15/10 17:46,2010,Person,Black,Male,Unknown,4600 B/O SOUTH CAPITOL ST SW,7D,708.0,26
Stop & Frisk,"Washington, D.C.",DC,1/15/10 17:46,2010,Person,Black,Unknown,Not Hispanic Or Latino,4600 B/O SOUTH CAPITOL ST SW,7D,708.0,20
Stop & Frisk,"Washington, D.C.",DC,1/15/10 21:45,2010,Person,Black,Male,Not Hispanic Or Latino,1800 B/O ONTARIO PL NW,3D,303.0,18
Stop & Frisk,"Washington, D.C.",DC,1/15/10 22:34,2010,Person,Black,Male,Not Hispanic Or Latino,1500 B/O GOOD HOPE RD SE,6D,607.0,Juvenile
Stop & Frisk,"Washington, D.C.",DC,1/16/10 9:45,2010,,,,,2800 B/O ALABAMA AVE SE,6D,606.0,
Stop & Frisk,"Washington, D.C.",DC,1/16/10 16:30,2010,Person,Black,Male,Not Hispanic Or Latino,4800 B/O B ST SE,6D,604.0,23
Stop & Frisk,"Washington, D.C.",DC,1/16/10 17:23,2010,Person,Black,Male,Not Hispanic Or Latino,53RD ST NE,6D,602.0,Juvenile
Stop & Frisk,"Washington, D.C.",DC,1/16/10 17:39,2010,Person,Black,Male,Not Hispanic Or Latino,SUITLAND PKY / STANTON RD SE,7D,703.0,Juvenile
Stop & Frisk,"Washington, D.C.",DC,1/16/10 17:39,2010,Person,Black,Male,Not Hispanic Or Latino,SUITLAND PKY / STANTON RD SE,7D,703.0,Juvenile
Stop & Frisk,"Washington, D.C.",DC,1/16/10 20:14,2010,Person,Black,Male,Not Hispanic Or Latino,VARNUM ST NW,4D,407.0,
Stop & Frisk,"Washington, D.C.",DC,1/16/10 20:14,2010,Person,Black,Male,Not Hispanic Or Latino,VARNUM ST NW,4D,407.0,
Stop & Frisk,"Washington, D.C.",DC,1/16/10 20:14,2010,Person,Black,Male,Not Hispanic Or Latino,VARNUM ST NW,4D,407.0,48
Stop & Frisk,"Washington, D.C.",DC,1/16/10 20:14,2010,Person,Unknown,Male,Hispanic Or Latino,VARNUM ST NW,4D,407.0,Juvenile
Stop & Frisk,"Washington, D.C.",DC,1/16/10 21:17,2010,Person,Unknown,Male,Hispanic Or Latino,600 B/O NICHOLSON ST NE,4D,406.0,24
Stop & Frisk,"Washington, D.C.",DC,1/17/10 1:09,2010,Person,Black,Male,Not Hispanic Or Latino,1800 B/O COLUMBIA RD,3D,303.0,24
Stop & Frisk,"Washington, D.C.",DC,1/17/10 3:45,2010,Person,Black,Male,Not Hispanic Or Latino,L ST NE,1D,101.0,45
Stop & Frisk,"Washington, D.C.",DC,1/17/10 17:39,2010,Person,Black,Male,Not Hispanic Or Latino,4TH ST SE,7D,708.0,61
Stop & Frisk,"Washington, D.C.",DC,1/17/10 20:30,2010,Person,Black,Female,Not Hispanic Or Latino,4700 B/O ALABAMA AVE SE,6D,605.0,25
Stop & Frisk,"Washington, D.C.",DC,1/17/10 21:15,2010,Person,Black,Male,Unknown,3900 B/O MINNESOTA AVE NE,6D,603.0,28
Stop & Frisk,"Washington, D.C.",DC,1/18/10 18:09,2010,Person,Unknown,Male,Hispanic Or Latino,0 B/O / M ST NW,1D,103.0,43
Stop & Frisk,"Washington, D.C.",DC,1/18/10 20:44,2010,Person,Black,Male,Not Hispanic Or Latino,17TH ST NW,1D,101.0,18
Stop & Frisk,"Washington, D.C.",DC,1/18/10 21:09,2010,Person,Black,Male,Not Hispanic Or Latino,1100 B/O 13TH ST SE,1D,107.0,20
Stop & Frisk,"Washington, D.C.",DC,1/19/10 22:05,2010,Person,Black,Male,Not Hispanic Or Latino,14TH ST NW / MERIDIAN PL NW,3D,302.0,18
